Address,Current_Assesed_Value,Sale_Amount,Sale_Date,
126 NICHOLS ST,138710,NA,NA,
104 NICHOLS ST,23280,35000,05/15/2015,
35 WARE ST,219540,265000,06/25/2013,
11 MOUNTAIN AVE,117530,NA,NA,
241 COLLEGE ST,207100,NA,NA,
29 FRYE ST,273600,NA,NA,
24 FRYE ST,247300,NA,NA,
110 RUSSELL ST,289800,NA,NA,
240 COLLEGE ST,210400,NA,NA,
235 COLLEGE ST,191200,NA,NA,
148 WOOD ST,212100,NA,NA,
245 COLLEGE ST,109100,NA,NA,
31 FRYE ST,169900,NA,NA,
28 FRYE ST,187100,NA,NA,
26 FRYE ST,183500,NA,NA,
31 CAMPUS AVE,339600,NA,NA,
27 FRYE ST,313000,NA,NA,
52 CAMPUS AVE,5552600,NA,NA,
270 COLLEGE ST,2168100,NA,NA,
250 COLLEGE ST,178100,NA,NA,
16 FRYE ST,190600,NA,NA,
78 CAMPUS AVE,2374100,NA,NA,
142 WOOD ST,216800,NA,NA,
44 MOUNTAIN AVE,590300,NA,NA,
11 CAMPUS AVE,408000,NA,NA,
257 COLLEGE ST,2975000,NA,NA,
137 RUSSELL,11979400,NA,NA,
30 FRYE ST,268900,NA,NA,
151 WOOD ST,45500,NA,NA,
145 WOOD ST,41100,NA,NA,
361 COLLEGE ST,114900,NA,NA,
32 MOUNTAIN AVE,137640,NA,NA,
338 COLLEGE ST,95840,NA,NA,
18 FRYE ST,109700,NA,NA,
226 COLLEGE ST,183100,NA,NA,
117 WOOD ST,17800,NA,NA,
125 WOOD ST,170400,NA,NA,
121 NICHOLS ST,23900,NA,NA,
173 WOOD ST,486200,NA,NA,
104 BARDWELL ST,27750,NA,NA,
143 WOOD ST,25320,NA,NA,
170 COLLEGE ST,135000,159000,07/25/2018,
227 COLLEGE ST,191600,NA,NA,
195 COLLEGE ST,26250,NA,NA,
55 CAMPUS AVE,5857400,NA,NA,
132 NICHOLS ST,127480,NA,NA,
74 BARDWELL ST,117900,155000,10/08/2004,
135 WOOD ST,11700,NA,NA,
136 NICHOLS ST,112700,NA,NA,
97 BARDWELL ST,147240,NA,NA,
142 NICHOLS ST,114800,NA,NA,
80 CENTRAL AVE,91920,NA,NA,
362 COLLEGE ST,18200,0,11/30/2010,
63 FRANKLIN ST,105490,146000,12/16/2011,
45 CAMPUS AVE,10041800,NA,NA,
161 WOOD ST,260200,NA,NA,
138 WOOD ST,41300,NA,NA,
93 BARDWELL ST,90900,149000,12/17/2010,
100 NICHOLS ST,137050,NA,NA,
163 WOOD ST,227900,NA,NA,
94 RUSSELL ST,97400,NA,NA,
17 FRYE ST,191600,NA,NA,
11 FRYE ST,28200,NA,NA,
101 BARDWELL ST,115000,145000,04/12/2010,
96 BARDWELL ST,26950,NA,NA,
10 FRYE ST,525000,277100,05/20/2009,
205 COLLEGE ST,123660,NA,NA,
239 COLLEGE ST,217700,NA,NA,
74 FRANKLIN ST,153850,181000,03/02/2018,
62 CENTRAL AVE,98300,131000,06/26/2018,
78 BARDWELL ST,107700,200000,12/10/2021,
342 COLLEGE ST,24300,NA,NA,
340 COLLEGE ST,127140,NA,NA,
158 WOOD ST,33500,NA,NA,
60 CENTRAL AVE,119000,170000,01/13/2020,
84 LAFAYETTE ST,22300,NA,NA,
